FullDate,Season,PlayDay,DateKey
1974-11-03,1974,12,736
1974-11-09,1974,13,737
1974-11-10,1974,13,738
1974-11-16,1974,14,739
1974-11-17,1974,14,740
1974-11-23,1974,15,741
1974-11-24,1974,15,742
1974-12-08,1974,15,743
1974-11-30,1974,16,744
1974-12-01,1974,16,745
1974-12-14,1974,17,746
1974-12-15,1974,17,747
1974-12-21,1974,18,748
1974-12-22,1974,18,749
1975-01-04,1974,19,750
1975-01-05,1974,19,751
1975-01-11,1974,20,752
1975-01-12,1974,20,753
1975-01-18,1974,21,754
1975-01-19,1974,21,755
1975-01-25,1974,22,756
1975-01-26,1974,22,757
1975-02-01,1974,23,758
1975-02-02,1974,23,759
1975-02-08,1974,24,760
1975-02-09,1974,24,761
1975-02-15,1974,25,762
1975-02-16,1974,25,763
1975-03-01,1974,26,764
1975-03-02,1974,26,765
1975-03-08,1974,27,766
1975-03-09,1974,27,767
1975-03-15,1974,28,768
1975-03-16,1974,28,769
1975-03-22,1974,29,770
1975-03-23,1974,29,771
1975-03-28,1974,30,772
1975-03-29,1974,30,773
1975-03-30,1974,30,774
1975-03-26,1974,31,775
1975-04-02,1974,31,776
1975-04-08,1974,31,777
1975-04-05,1974,32,778
1975-04-06,1974,32,779
1975-04-08,1974,32,780
1975-04-22,1974,32,781
1975-04-12,1974,33,782
1975-04-13,1974,33,783
1975-04-16,1974,34,784
1975-04-19,1974,35,785
1975-04-20,1974,35,786
1975-04-26,1974,36,787
1975-04-27,1974,36,788
1975-05-04,1974,37,789
1975-05-11,1974,38,790
1975-08-16,1975,1,791
1975-08-17,1975,1,792
1976-02-18,1975,1,793
1975-08-20,1975,2,794
1975-09-03,1975,2,795
1975-08-23,1975,3,796
1975-08-24,1975,3,797
1975-08-27,1975,4,798
1975-09-03,1975,4,799
1975-09-09,1975,5,800
1975-09-10,1975,5,801
1975-09-13,1975,6,802
1975-09-14,1975,6,803
1975-09-20,1975,7,804
1975-09-21,1975,7,805
1975-10-04,1975,8,806
1975-10-05,1975,8,807
1975-10-08,1975,9,808
1975-10-11,1975,10,809
1975-10-12,1975,10,810
1975-10-18,1975,11,811
1975-10-19,1975,11,812
1975-10-25,1975,12,813
1975-10-26,1975,12,814
1975-11-08,1975,13,815
1975-11-09,1975,13,816
1975-11-22,1975,14,817
1975-11-23,1975,14,818
1975-11-29,1975,15,819
1975-11-30,1975,15,820
1975-12-06,1975,16,821
1975-12-07,1975,16,822
1975-12-13,1975,17,823
1975-12-14,1975,17,824
1975-12-20,1975,18,825
1975-12-21,1975,18,826
